range_m,freq_hz,TL_db
500,13812.5,55.04243746615636
500,13843.75,55.04680178687933
500,13875.0,55.051174248451304
500,13906.25,55.05555484040556
500,13937.5,55.05994355226163
500,13968.75,55.06434037352535
500,14000.0,55.06874529368896
500,14031.25,55.0731583022312
500,14062.5,55.07757938861732
500,14093.75,55.08200854229921
500,14125.0,55.08644575271542
500,14156.25,55.09089100929128
500,14187.5,55.09534430143894
500,14218.75,55.09980561855745
500,14250.0,55.104274950032824
500,14281.25,55.10875228523814
500,14312.5,55.11323761353356
500,14343.75,55.11773092426645
500,14375.0,55.12223220677143
500,14406.25,55.126741450370425
500,14437.5,55.131258644372764
500,14468.75,55.13578377807524
500,14500.0,55.14031684076219
500,14531.25,55.144857821705536
500,14562.5,55.149406710164875
500,14593.75,55.15396349538757
500,14625.0,55.15852816660876
500,14656.25,55.163100713051506
500,14687.5,55.167681123926776
500,14718.75,55.17226938843359
500,14750.0,55.17686549575904
500,14781.25,55.181469435078384
500,14812.5,55.1860811955551
500,14843.75,55.19070076634095
500,14875.0,55.1953281365761
500,14906.25,55.19996329538909
500,14937.5,55.204606231897
500,14968.75,55.20925693520546
500,15000.0,55.21391539440875
500,15031.25,55.21858159858983
500,15062.5,55.22325553682045
500,15093.75,55.2279371981612
500,15125.0,55.23262657166157
500,15156.25,55.23732364636002
500,15187.5,55.24202841128405
500,15218.75,55.24674085545029
500,15250.0,55.25146096786453
500,15281.25,55.256188737521796
500,15312.5,55.26092415340644
500,15343.75,55.26566720449219
500,15375.0,55.270417879742205
500,15406.25,55.275176168109155
500,15437.5,55.27994205853531
500,15468.75,55.284715539952565
500,15500.0,55.28949660128252
500,15531.25,55.29428523143658
500,15562.5,55.29908141931596
500,15593.75,55.303885153811805
500,15625.0,55.30869642380523
500,15656.25,55.31351521816739
500,15687.5,55.31834152575954
500,15718.75,55.32317533543314
500,15750.0,55.32801663602985
500,15781.25,55.33286541638165
500,15812.5,55.337721665310895
500,15843.75,55.34258537163038
500,15875.0,55.347456524143375
500,15906.25,55.352335111643754
500,15937.5,55.357221122915995
500,15968.75,55.362114546735285
500,16000.0,55.367015371867566
1000,0.0,60.003
1000,31.25,60.00311809022235
1000,62.5,60.00347110813097
1000,93.75,60.00405533183182
1000,125.0,60.00486467748011
1000,156.25,60.005890871559714
1000,187.5,60.00712367928188
1000,218.75,60.00855117760001
1000,250.0,60.010160059718196
1000,281.25,60.011935957324646
1000,312.5,60.01386376707428
1000,343.75,60.01592796895508
1000,375.0,60.018112925916974
1000,406.25,60.02040315630364
1000,437.5,60.022783572985404
1000,468.75,60.02523968544443
1000,500.0,60.02775776324614
1000,531.25,60.030324961226306
1000,562.5,60.03292940825847
1000,593.75,60.03556026261618
1000,625.0,60.03820773771606
1000,656.25,60.04086310245701
1000,687.5,60.04351866050933
1000,718.75,60.04616771281417
1000,750.0,60.0488045072894
1000,781.25,60.05142417935806
1000,812.5,60.05402268646938
1000,843.75,60.056596739308475
1000,875.0,60.059143731921004
1000,906.25,60.06166167253409
1000,937.5,60.06414911644939
1000,968.75,60.06660510202622
1000,1000.0,60.06902909046574
1000,1031.25,60.07142090984997
1000,1062.5,60.07378070368053
1000,1093.75,60.07610888399574
1000,1125.0,60.07840608901688
1000,1156.25,60.08067314517941
1000,1187.5,60.08291103333702
1000,1218.75,60.085120858881425
1000,1250.0,60.08730382549361
1000,1281.25,60.089461212229246
1000,1312.5,60.091594353638904
1000,1343.75,60.09370462262952
1000,1375.0,60.095793415785266
1000,1406.25,60.09786214088129
1000,1437.5,60.09991220634186
1000,1468.75,60.10194501241361
1000,1500.0,60.10396194384414
1000,1531.25,60.105964363875906
1000,1562.5,60.1079536093839
1000,1593.75,60.109930987003615
1000,1625.0,60.111897770112684
1000,1656.25,60.113855196544776
1000,1687.5,60.1158044669288
1000,1718.75,60.11774674355929
1000,1750.0,60.119683149715506
1000,1781.25,60.12161476935731
1000,1812.5,60.123542647135196
1000,1843.75,60.12546778866021
1000,1875.0,60.12739116098684
1000,1906.25,60.12931369326847
1000,1937.5,60.13123627755077
1000,1968.75,60.13315976967318
1000,2000.0,60.13508499025341
1000,2031.25,60.137012725733356
1000,2062.5,60.13894372946823
1000,2093.75,60.14087872284374
1000,2125.0,60.14281839640849
1000,2156.25,60.14476341101095
1000,2187.5,60.146714398932225
1000,2218.75,60.14867196500745
1000,2250.0,60.15063668772996
1000,2281.25,60.152609120333565
1000,2312.5,60.15458979184935
1000,2343.75,60.15657920813396
1000,2375.0,60.158577852867566
1000,2406.25,60.160586188519666
1000,2437.5,60.16260465728197
1000,2468.75,60.164633681967615
1000,2500.0,60.166673666876605
1000,2531.25,60.16872499862737
1000,2562.5,60.17078804695487
1000,2593.75,60.17286316547567
1000,2625.0,60.17495069242059
1000,2656.25,60.17705095133569
1000,2687.5,60.179164251752496
1000,2718.75,60.18129088982834
1000,2750.0,60.18343114895768
1000,2781.25,60.185585300355626
1000,2812.5,60.187753603614475
1000,2843.75,60.1899363072344
1000,2875.0,60.19213364912932
